字头	释义
嶒	1<形>高耸；特出。江淹《镜论语》：“意恬怅兮有端，才～峻兮可观。”2<形>形容山势高峻。张协《七命》：“既乃琼巘～崚，金岸崥崹。”（巘：山峰。崥崹：山势渐趋平缓。）3<形>高峻。李白《明堂赋》：“峥嵘～嶷，粲宇宙兮光辉；崔嵬赫奕，张天地之神威。”
锸	1<名>铁锹；挖土的工具。《五蠹》：“（禹）身执耒～。”（禹亲自拿着耒和锸。未：一种农具。）
垞	1土丘。王维《南垞》诗：“轻舟南～去，北～淼难即。”2古邑名。故址在今江苏徐州北。《水经注·泗水》：“泗水又径留县而南～，径～城东。”
察	1<动>仔细看；观察。《石钟山记》：“徐而～之，则山下皆石穴罅。”2<动>看清楚。《兰亭集序》：“仰观宇宙之大，俯～品类之盛。”【又】<动>苛求。《班超告老归国》：“～政不得下和，宜荡佚简易，宽小过，总大纲而已。”3<动>考察。《寡人之于国也》：“～邻国之政，无如寡人之用心也。”4<形>清楚；明白。《曹刿论战》：“小大之狱，虽不能～，必以情。”5<动>考察举荐；选拔。《陈情表》：“前太守臣逵～臣孝廉，后剌史臣荣举臣秀才。”6<动>督察。《邵公谏厉王弥谤》：“近臣尽规，亲戚补～。”（补察：弥补过失，督察是非。）
侘	1<动>夸耀。《史记·韩安国传》：“即欲以～鄙县，驱驰国中，以夸诸侯。”2<形>见“侘傺”
诧	1<动>夸耀。《宋史·张去华传》：“浙人每迓朝使，以列步骑以自夸～。”2<动>诳，欺骗。《新唐书·史思明传》：“～曰：‘朝义怯，不能成我事。’”3<动>告诉。《庄子·达生》：“有孙休者，踵门面～子扁庆子。”4<形>惊讶、诧异。
姹	1<形>美丽。柳永《柳初新》词：“渐觉绿娇红～，装点层台芳榭。”2<形>同“诧”。夸耀。《汉书·司马相如传上》：“子虚过～乌有先生。”
差	1<动>差别；相差。《狱中杂记》：“无～，谁为多与者？”2<名>差错；错误。《失街亭》：“若有～失，乞斩全家。”3<副>略微。《后汉书·光武帝纪》：“令军士屯田，粮储～积。”
差	1<动>差遣；派遣。《陈州粜米》：“特地～两员官来这里开仓卖米。”2<名>差役；公务。《[般涉调]哨遍·高祖还乡》：“这～使不寻俗。”
差	<形>病愈，后写作“瘥”。《祭妹文》：“后虽小～，犹尚，无所娱遣。”
差	1<形>长短、高低不齐。《小石潭记》：“其岸势犬牙～互，不可知其源。”2<动>比并；挨着。《祭妹文》：“予幼从先生授经，汝～肩而坐，爱听古人节义事。”
侪	1<名>类；等。《左传·成公二年》：“文王犹用众，况吾～乎？”《柳敬亭传》：“此故吾～同说书者也，今富贵若此！”（吾侪：略相当于现代汉语的“我们”。）2<副>一起；混同。《列子·汤问》：“长幼～居……男女杂游。”3<动>相为配偶。《汉书·扬雄传》：“～男女，使莫违。”
柴	1<名>枯枝，木柴。2<动>烧柴祭天。《后汉书·肃宗孝章帝纪》：“辛未，幸太山，～告岱宗。”
柴	用木围护四周。【又】用柴覆盖、堵塞。【引】闭。【又】防守用的篱笆或栅栏。
柴	<名>堆积的禽兽。《诗经·小雅·车攻》：“谢夫既同，助我举～。”
柴	<形>参差不齐。《史记·司马相如传》：“～池芷虒，旋环后宫。”
虿	1<名>蝎子一类毒虫。2<形>形容女子的鬈发。黄庭坚《清人怨戏效徐庾慢体》：“晚风斜～发，逸艳照窗笼。”
觇	1<动>窥看；侦察。《促织》：“忽闻门外虫鸣，惊起～视。”《<指南录>后序》：“予更欲一～北，归而求救国之策。”2<动>看；观看。《促织》：“将献公堂，惴惴恐不当意，思试之斗以～之。”
幨	1车帷。《新唐书·魏徵传》：“乃用素车，白布～帷。”【又】床帐。张敞《东宫旧事》：“皇太子纳纪，有绿石，绮绢，里床～二。”
幨	衣襟。《管子·揆度》：“卿大夫豹饰，列大夫豹～。”
婵	见“婵娟”、“婵连”等词条。
谗	1<动>说别人的坏话。《屈原列传》：“因～之曰：‘王使屈平为令，众莫不知……’”2<名>毁谤别人的话；谗言。《岳阳楼记》：“则有去国怀乡，忧～畏讥，满目萧然，感极而悲者矣。”《六国论》：“洎牧以～诛，邯郸为郡，惜其用武而不终也。”3<名>说别人坏话的人。《屈原列传》：“屈平疾王听之不聪也，～谄之蔽明也。”《谏太宗十思疏》：“惧～邪则思正身以黜恶。”
孱	1<形>懦弱。【又】弱小；衰落。吕南公《勿愿寿》诗：“儿～妻病盆甑干，静卧藜床冷无席。”2<形>浅陋。3<形>谨小慎微。《大戴礼记·曾子立事》：“君子博学而～守之。”
禅	1<动>古代帝王祭地。《史记·秦始皇本纪》：“议封～望祭山川之事。”2<动>禅让。指古代帝王让位给别人。《三国志·魏书·文帝纪》：“帝尧～位于虞舜。”
禅	<动>静思。佛教用语。如“坐禅”。泛指有关佛教的事物。如“禅师”“禅宗”“禅林”。白居易《重到江州》诗：“～僧出郭迎。”
蝉	<名>昆虫名，又叫“知了”。《与朱元思书》：“～则千转不穷，猿则百叫无绝。”《雨霖铃》：“寒～凄切，对长亭晚，骤雨初歇。”
儃	1<形>表徘徊。《楚辞·九章·涉江》：“入溆浦余～佪兮，迷不知吾所如。”2<形>运转。《楚辞·惜誓》：“寿冉冉而日衰兮，固～佪而不息。”
儃	放纵。贾谊《新书·劝学》：“然则舜僶俛而加志，我～僈而弗省耳。”
儃	通“禅”。禅让，让位。《法言·问明》：“允哲尧～舜之重，则不轻于（许）由矣。”
廛	1<名>古代一户人家在城邑的房地，为二亩半。《孟子·滕文公上》：“远方之人闻君行仁政，愿受一～而为氓。”2<名>泛指居民的房地、房屋。《治平篇》：“隙地未尽辟，闲～未尽居也。”3<名>货栈；店铺。左思《魏都赋》：“廓三市而开～。”（廓：扩大。）4<量>通“缠”。束，捆。《伐檀》：“胡取禾三百～兮！”
潺	1水名。四川涪江上游一支流。2见“潺潺”、“潺湲”。
儳	1<形>不整齐。《国语·周语中》：“夫戎狄冒没轻～，贪而不让。”2<形>相貌丑恶。刘基《杂诗》：“～妇厌贪夫，常怀相弃心。”
儳	通“搀”。扶。韦庄《下邽感旧》诗：“招他邑客来还醉，～得先生去始休。”
儳	1<形>轻贱；不庄重。2<形>不安宁。3<形>迅疾；便捷。郑丰《答陆士龙诗·兰林》：“趯趯～兔。”4<动>随便插话。见“儳和”、“儳言”。
蟾	1<名>蟾蜍。2<名>古代神话，月中有蟾蜍，故称月为蟾。顾夐《浣溪沙》词：“露白～明又到秋。”
巉	<形>山势高险的样子。《过小孤山大孤山》：“自数十里外望之，碧峰～然孤起，上干云霄。”
产	1<动>生长；出产。《捕蛇者说》：“永州之野～异蛇，黑质而白章。”2<动>生育；出生。《孟子·滕文公上》：“陈良，楚～也。”（陈良：战国时儒家学派人物。）3<名>产物。《促织》：“此物故非西～。”4<名>财产；产业。《齐桓晋文之事》：“无恒～而有恒心者，惟士为能。”《促织》：“每责一头，辄倾数家之～。”
刬	1<名>农具名。铲子。《齐民要术·耕田》：“～柄长三尺。”【又】铲平。《齐民要术·耕田》：“～地除草。”【引】灭除；废除。2<副>仅；只。李廓《长安少年行》：“～戴扬州帽，重熏异国香。”
刬	通“栈。”《史记·田叔列传》：“谷口，蜀～道，近山。”
谄	1<动>谄媚；巴结；奉承。《冯谖客孟尝君》：“寡人不祥，被于宗庙之祟，沉于～谀之臣，开罪于君！”2<名>巴结别人的言语或行为。《<指南录>后序》：“不幸吕师孟构恶于前，贾余庆献～于后。”【辨】谄，谀。“谀”是用言语奉承，“谄”则不限于言语。“谄”“谀”二字连用时，不再有这种区别。
阐	1<动>开，开辟。《史记·秦始皇本纪》：“～并天下。”2<动>阐发，阐明。《周易·系辞下》：“夫《易》彰往而察来，而微显～幽。”【引】显露在外。3<名>古邑名。春秋鲁地。《春秋·哀公八年》：“齐人取讙及～。”
燀	1<动>炊，烧火煮。《左传·昭公二十年》：“水火醯醢盐梅以烹鱼肉，～之以薪。”2<动>燃烧。《国语·周语下》：“水无沉气，火无灾～。”【引】炽热。何晏《景福殿》：“故冬不凄寒，夏无炎～。”【又】光烈，炽盛。《史记·秦始皇本纪》：“威～旁达，莫不宾服。”
燀	厚。《吕氏春秋·重己》：“衣不～热。”
羼	羊杂处在一起。【引】搀杂。《新唐书·李峤传》：“今道人私度者几数十万，其中高户多丁，黠商大贾，诡作台符，～名伪度。”
伥	1<名>古时传说被老虎吃掉的人，死后变成伥鬼，引虎食人，如“为虎作伥。”2<形>无所适从时样子。
昌	1<形>兴盛；强盛。《谭嗣同》：“今日中国未闻有因变法而流血者，此国之所以不～也。”2<形>健壮；美好。《诗经·猗嗟》：“猗嗟～兮，颀而长兮。”
长	1<形>长，与“短”相对。《劝学》：“登高而招，臂非加～也，而见者远。”《谏太宗十思疏》：“斯亦伐根以求木茂，塞源而欲流～也。”2<形>高；高大。《公输》：“荆有～松文梓楩楠豫章，宋无～木。”3<形>长久；久远。《庄子·秋水》：“吾～见笑于大方之家。”《石壕吏》：“存者且偷生，死者～已矣。”4<形>广；广阔。《柳毅传》：“～天茫茫，信耗莫通。”《岳阳楼记》：“而或～烟一空，皓月千里。”5<动>擅长。《冯婉贞》：“莫如以吾所～攻敌所短。”6<副>经常。王安石《书湖阴先生壁》：“茅檐～扫净无苔，花木成畦手自栽。”
长	1<动>生长。《采草药》：“用叶者取叶初～足时。”【又】<动使动>使……生长；扶养；抚育。晃错《论贵粟疏》：“养孤～幼在其中。”2<动>增长；滋长。《赤壁赋》：“盈虚者如彼，而卒莫消～也。”《论积贮疏》：“淫侈之俗日日以～，是天下之大贼也。”3<形>年纪大；辈分高。《师说》：“是故无贵无贱，无～无少，道之所存，师之所存也。”4<形>排行第一。《屈原列传》：“～子顷襄王立，以其北子兰为令尹。”5<名>兄；哥哥。常“兄～”、“～兄”连用。《木兰诗》：“阿爷无大儿，木兰无～兄。”6<名>首领；头领。《陈涉世家》：“陈涉、吴广皆次当行，为屯～。”【又】做……首领；当头领。《记王忠肃公翱事》：“而翁～铨，迁我京职，则汝朝夕侍母。”
尝	1<动>吃；品尝。《察今》：“～一脟肉，而知一镬之味，一鼎之调。”2<动>尝试。《齐桓晋文之事》：“我虽不敏，请～试之。”3<动>经历；遇到。《庖丁解牛》：“技经肯綮之未～，而况大軱乎！”4<副>曾；曾经。《劝学》：“吾～终日而思矣，不如须臾之所学也。”
偿	1<动>偿还；归还。《冯谖客孟尝君》：“使吏召诸民当～者悉来合券。”2<动>补偿；抵偿。《促织》：“会征促织，成不敢敛户口。而又无所赔～，忧闷欲死。”3<动>回报；报答。《史记·范雎蔡泽列传》：“一饭之德必～，睚眦之怨必报。”
常	1<形>永久的；固定的。《师说》：“圣人无～师。”《促织》：“有华阴令，欲媚上官，以一头进，试使斗而才，因责～供。”2<名>规律；准则。《荀子·天论》：“天行有～，不为尧存，不为桀亡。”3<形>平常；普通。《马说》：“且欲与～马等不可得，安求其能千里也？”《采草药》：“盖～理也。”4<名>平日；平时。《张衡传》：“～从容淡静，不好交接俗人。”5<副>经常；常常。《伶官传序》：“夫祸患～积于忽微，而智勇多困于所溺。”《信陵君窃符救赵》：“赢闻晋鄙之兵符～在王卧内。”6<量>长度单位，古代八尺为寻，两寻为常。《韩非子·五蠹》：“布帛寻～，庸人不释。”7通“尝”。曾；曾经。《史记·留侯世家》：“项伯～杀人，从良匿。”（良：张良。）
徜	1<形>逍遥，安闲自在。韩愈《送李愿归盘谷序》：“膏吾车兮秣吾马，从子于盘兮，终吾身以～徉。”2徘徊，彷徨。张衡《思玄赋》：“会帝轩之未归兮，怅～徉而延佇。”
场	1<名>晒打谷物的平坦场地；场院。《过故人庄》：“开轩面～圃，把酒话桑麻。”《狼》：“顾野有麦～，场主积薪其中。”2<量>回。常指一件事情的经过。《葫芦僧判断葫芦案》：“这冯公子空喜一～。”3<名>各种场地；场所。如战场、刑场、考场。王翰《凉州词》：“醉卧沙～君莫笑，古来征战几人回。”《窦娥冤》：“监斩官去洗～上多时了。”《范进中举》：“自古无～外的举人。”
场	1场所，许多人聚集的地方。2指科举考试的地方。柳宗元《上大理崔大卿应制不敏启》：“登～应对，……，不可以言乎学。”
昶	白天长。
昶	通“畅”。舒畅。嵇康《琴赋》：“固以和～而足耽矣。”
惝	1（又读tǎng）怅惘；失意。《庄子·则阳》：“客出，而君～然若有亡焉。”2通“敞”。空阔，广大。《淮南子·精神训》：“廓～而虚，清靖而无思虑。”
敞	1<形>宽阔，宽敞。《核舟记》：“中轩～者为舱。”2<动>张开；敞开。陶渊明《桃花源诗》：“奇踪隐五百，一朝～神界。”
怅	1<形>惆怅；失意。《陈涉世家》：“辍耕之垄上，～恨久之。”《狱中杂记》：“至再三，不得所请，～然而去。”2<形>懊恼；恼恨。《孔雀东南飞》：“阿兄得闻之，～然心中烦。”《智取生辰纲》：“那十四个人没一个不怨～杨志。”
畅	1<形>畅通无阻；畅达；流畅。《送东阳马生序》：“撰长书以为贽，辞甚～达。”2<形>通晓。《出师表》：“将军向宠，性行淑均，晓～军事。”3<形>舒畅；畅快。《兰亭集序》：“是日也，天朗气清，惠风和～。”4<形>尽情；充分。《兰亭集序》：“一觞一咏，亦足以～叙幽情。”《群英会蒋干中计》：“说罢，大笑～饮。”5<形>茂盛；旺盛。《孟子·滕文公下》：“草木～茂，禽兽繁殖。”
倡	1<名>古称歌舞艺人。《史记·滑稽列传》：“优旃者，秦～，侏儒也。”2<名>通“娼”。妓女。白行简《李娃传》：“长安之～女也。”
倡	1<动>同“唱”。《荀子·礼论》：“清庙之歌，一～而三叹也。”2<动>作乐。屈原《东皇太一》：“陈竽瑟兮浩～。”3<动>带头；倡导。《汉书·陈胜传》：“今诚以吾众为天下～，宜多应者。”
唱	1<动>领唱。《荀子·乐论》：“～和有应。”2<动>倡导；带头。又写作“倡”。《陈涉世家》：“今诚以吾众诈自称公子扶苏、项燕，为天下～，宜多应者。”《<黄花冈七十二烈士事略>序》：“予三十年前所主～之三民主义……其不获实行也如故。”3<动>歌唱。《滕王阁序》：“渔舟～晚，响穷彭蠡之滨。”杜牧《泊秦淮》：“商女不知亡国恨，隔江犹～后庭花。”
抄	1<动>叉取。李白《大猎赋》：“～獑猢，揽貊（豸国）。”2<动>掠夺。《后汉书·郭伋传》：“时匈奴数～郡界，边境苦之。”3<动>从侧面或近路过去。4<动>用匙取物。韩愈《赠刘师服》诗：“匙～烂饭稳送之，合口软嚼如牛呞。”5<动>誊写，抄录。《晋书·纪瞻传》：“好读书，或手自～写。”6<量>古代十撮为一抄。《孙子算经》：“十撮为一～，十抄为一勺，十勺为一合，十合为一升。”
怊	1<形>心无所依，失意。《庄子·天地》：“～乎若婴儿之失其母也，傥乎若行而失其道也。”2<形>悲伤。《楚辞·九章·哀郢》：“发郢都而去闾兮，～荒忽其焉极。”
訬	1<形>矫健，敏捷。《淮南子·修务训》：“越人有重迟者，而人谓之～。”2<形>狡狯，轻佻。
訬	高。张衡《西京赋》：“通天～以竦峙。”（通天：台名）
超	1<动>跃上；跳上。《殽之战》：“左右免胄而下，～乘者三百乘。”2<动>越过；跳过。《齐桓晋文之事》：“挟泰山以～北海。”3<动>越级；破格。《谭嗣同》：“皇上～擢四品卿衔军机章京，与杨锐、林旭、刘光第同参预新政。”4<动>超出；胜过。《韩非子·五蠹》：“～五帝、侔三王者，必此法也。”5<形>遥远。《国殇》：“平原忽全民路～远。”6<形>怅惘；若有所失的样子。《庄子·徐无鬼》：“武侯～然不对。”
巢	1<名>鸟类、虫类等的窝。《诗经·召南·鹊巢》：“维鹊有～，维鸠居之。”2<动>筑巢；造窝。《涉江》：“燕雀、乌鹊，～堂坛兮。”3<名>远古人类的居处。《五蠹》：“有圣人作，构木为～以避群害，而民悦之，使王天下，号之曰有～氏。”
朝	1<名>早晨。《岳阳楼记》：“～晖夕阴，气象万千。”2<名>一日。《孟子·告子》：“虽与之天下，不能一～居也。”
朝	1<动>拜见；拜访。《史记·项羽本纪》：“项羽晨～上将军宋义。”2<动>拜见君主。《送东阳马生序》：“余～京师。”3<动>受臣下朝见。《荀子·尧问》：“王～而有忧色。”4<动>归附；朝拜。《邹忌讽齐王纳谏》：“燕、赵、朝、魏闻之，皆～于齐。”【又】〈动使动〉使……朝拜。《过秦论》：“序八州而～同列。”5<名>朝廷。《柳敬亭传》：“是时～中皆畏宁南。”6<动>上朝。《赵威后问齐使》：“胡为至今不～也。”7<名>官府的大堂。《后汉书·刘宠传》：“山谷鄙生，未尝识郡～。”8<名>朝代。《陈情表》：“逮奉圣～，沐浴清化。”
嘲	1<动>嘲笑。李商隐《行次西郊作》：“公卿辱～叱，唾弃如粪丸。”（叱：斥骂。）
嘲	<形>见“嘲哳”等
潮	1<名>海水定时涨落叫潮。枚乘《七发》：“江水逆流，海水上～。”2<形>潮湿。范成大《没冰铺晚晴月出晓复大雨上漏下湿不堪其忧》诗：“旅枕梦寒涔屋漏，征衫～润冷炉熏。”
车	1<名>车子。《信陵君窃符救赵》：“公子引～入市。”《卖炭翁》：“晓驾炭～辗冰辙。”2<名>特指兵车；战车。《陈涉世家》：“比至陈，～六七百乘，骑千余，卒数万人。”《兵车行》：“～辚辚，马萧萧，行人弓箭各在腰。”3<名>有轮子的机械器具。如水车、纺车等。苏轼《浣溪沙》：“村南村北响缲～。”4<名>牙床。《左传·僖公五年》：“谚所谓‘辅～相依，唇亡齿寒’者，其虞虢之谓也。”（辅：面颊；虞、虢：皆为古代国名。）
扯	1<动>展开，裂开。段成式《光风亭夜宴妓有醉殴者》诗：“掷履仙凫起，～衣蝴蝶飘。”2<动>拉，牵。关汉卿《鲁斋郎》三折：“休把我衣服～住，情知咱冰炭不同炉。”3<副>漫无边际的谈话。《醒世烟缘传》二回：“你没得～淡！”
彻	1<动>通；通达。《滕王阁序》：“云销雨霁，彩～区明。”（销：通“消”。）《愚公移山》：“汝心之固，固不可～。”2<动>透，穿过。《小石潭记》：“日光下～，影布石上，佁然不动。”3<动>尽；完；到底。《茅屋为秋风所破歌》：“自经丧乱少睡眠，长夜沾湿何由～。”4<动>通“撤”。去掉；拿掉。《赵威后问齐使》：“～其环瑱，至老不嫁，以养父母。”
坼	1<动>分裂；裂开。《战国策·赵策三》：“天崩地～，天子下席。”【又】裂纹。《周礼·春官·占人》：“史占墨，卜人占～。”2<动>拆开；拆毁。韩愈《寄皇甫湜》诗：“～书放床头，涕与泪垂四。”3<动>闪动。也作“掣”。郎瑛《七修类稿·诗文类·唐为晋讳》：“中台星～，时以为大异。”
掣	1<动>牵引；拉拽。《白雪歌送武判官归京》：“纷纷暮雪下辕门，风～红旗冻不翻。”2<动>抽取。《晋书·王献之传》：“七八岁时学书，羲之密从后～其笔不得。”3<动>拴着；拽着。《柳毅传》：“俄有赤龙长千尺……项～金锁，锁牵玉柱。”
嗔	1<动>生气；发怒。杜甫《丽人行》：“慎莫近前丞相～。”《智取生辰纲》：“杨志也～道：‘你两个好不晓事……’”
瞋	1<动>发怒时睁大眼睛。《荆轲刺秦王》：“士皆～目，发尽上指冠。”《鸿门宴》：“哙遂入，披帷西向立，～目视项王。”2<动>生气。《后汉书·华佗传》：“因～恚，吐黑血数升而愈。”（恚：发怒。愈：病好。）
尘	1<名>尘土；灰尘。《卖炭翁》：“满面～灰烟火色，两鬓苍苍十指黑。”2<名>人间；世俗社会。《归园田居》：“误落～网中，一去三十年。”
臣	1<名>俘虏；奴隶。《五蠹》：“虽～虏之劳，不苦于此矣。”2<名>官吏；臣属。《出师表》：“亲贤～，远小人，此先汉所以兴隆也。”3<动>称臣；臣服。《赵威后问齐使》：“上不～于王，下不治家，中不索交诸侯。”【又】<名使动>使……称臣；臣服。《毛遂自荐》：“汤以七十里之地王天下，文王以百里之壤而～诸侯。”4<名>官吏百姓对君主的自称。《邹忌讽齐王纳谏》：“～之妻私～，～之妾畏～，～之客欲有求于～。”5<名>秦汉以前在人面前表示谦卑的自称。《信陵君窃符救赵》：“～修身洁行数十年，终不以监门困故而受公子财。”《荆轲刺秦王》：“樊於期偏袒扼腕而进曰：‘此～日夜切齿拊心也，乃今得闻教！’”
忱	1忠诚。《尚书·汤诰》：“尚克时～，乃亦有终。”【引】真诚的心意。刘基《癸巳正月在杭州作》诗：“微微蝼蚁～，郁郁不得吐。”2信任。《诗经·大雅·大明》：“天难～斯，不易维王。”
沉	1<动>沉入水中；沉没。刘禹锡《酬乐天扬州初逢席上见赠》：“～舟侧畔千帆过，病树前头万木春。”《岳阳楼记》：“浮光跃金，静影～璧。”2<动>泛指下落；沉陷。《过零丁洋》：“山河破碎风飘絮，身世浮～雨打萍。”3<动>沉溺；陷入。《冯谖客孟尝君》：“～于国家之事，开罪于先生。”4<形>重；沉重。《采草药》：“无苗时采，则实而～。”5<形>深；深沉。《如梦令》：“常记溪亭日幕，～醉不知归路。”【注】“沉”原来写作“沈”，音shěn；“沉没”、“深沉”各义写作“沉”，音chén。
辰	1<名>十二地支的第五位。2<名>辰时，十二时辰之一，上午七点至九点。《柳毅传》：“向者～发灵虚，已至泾阳。”3<名>时光；日子；时辰。《归去来兮辞》：“怀良～以孤往，或植枝而耘耔。”4<名>星名，北极星。《论语·为政》：“譬如北～，居其所而众星共之。”【又】二十八宿中的心宿，即商星。桓宽《盐铁论》：“犹～参之错。”【又】泛指群星。《淮南子·共工触不周山》：“天倾西北，故日月星～移焉。”
陈	1<名>古指台阶，及台阶下的地方。《冯谖客孟尝君》：“狗马实外厩，美人充下～。”2<动>陈列；摆列。《荆轲刺秦王》：“诸郎中执兵，皆～殿下。”《醉翁亭记》：“山肴野蔌，杂然而前～者，太守宴也。”3<动>陈述；陈说。《荆轲剌秦王》：“恐惧不敢自～。”4<形>旧；旧的。《兰亭集序》：“向之所欣，俯仰之间，已为～迹。”
陈	后作“阵”1<名>交战时的战斗队列。《史记·李将军列传》：“广行无部伍行～。”2<动>列阵；布阵。《子鱼论战》：“既～而后击之。”
宸	1<名>屋边，屋檐。2<名>北极星所居，因以借指帝王的宫殿。王勃《九成宫颂》：“～扉既辟，一宇宙而来王。”【引】帝位、帝王的代称。3<名>天地相连处。张衡《西京赋》：“消雾埃于中～，集重阳之清澄。”
墋	1沙土。沈约《郊居赋》：“宁方割于下垫，廓重氛于上～。”2混浊。陆机《汉高祖功臣颂》：“茫茫宇宙，上～下黩。”【墋默】混浊，混乱。也作“碜默。”
疢	1热病，病。【引】毛病，缺陷。【又】灾患，忧患。《后汉书·南匈奴传论》：“其为～毒，胡可单言！”2痛苦。郑思肖《心史总后序》：“我罹大变，心～骨寒。”
龀	1<动>儿童换牙。《愚公移山》：“邻人京城氏之孀妻有遗男，始～。”2<形>年幼。《后汉书·阎皇后纪》：“显、景诸子年皆童～，并为黄门侍郎。”（显、景：均为皇后兄弟。）
谶	<名>预言吉凶得失的文字、图记。《史记·赵世家》：“公孙支书而藏之，秦～于是出矣。”（书：写。）《后汉书·光武帝纪》：“宛人李通等以图～说光武。”
赪	红色。谢眺《望三湖》诗：“积水照～霞，高台望归翼。”【又】颜色变红。陆游《养疾》诗：“菊颖寒犹小，枫林晓渐～。”
撑	1<动>抵住。陈琳《饮马长城窟行》：“君独不见长城下，死人骸骨相～拄。”2<动>用篙行船。李白《下泾县陵阳溪至涩滩》诗：“渔子与舟人，～折万张篙。”3<名>支柱。杜甫《自京赴奉先县咏怀五百字》诗：“河梁幸未坼，枝～声窸窣。”4<形>美，漂亮。董解元《西厢记诸宫调》：“便是月殿里姮娥，也没恁地～。”
瞠	1<动>瞪着眼睛直视。《祭妹文》：“予披宫锦还家，汝从东厢扶案出。一家～视而笑。”2<动>瞪着眼睛怒视。《梅花岭记》：“忠烈乃～目曰：‘我史阁部也。’”
称	1<动>称量；衡量。《汉书·枚乘传》：“夫铢铢而～之，至石必差。”（铢、石：皆重量单位。铢：一两的二十四分之一。石：一百二十斤。）2<动>举；举起。《诗经·七月》：“～彼兕觥，万寿无疆。”（兕觥：犀牛角制做的酒杯。）3<动>称赞；赞许。《原毁》：“彼虽能是，其人不足～也。”4<动>称述；称说；说。《屈原列传》：“上～帝喾，下道齐桓，中述汤武。”5<动>称作；号称；称为。《陈涉世家》：“乃诈～公子扶苏、项燕，从民欲也。”6<动>声称。《廉颇蔺相如列传》：“相如每朝时，常～病，不欲与廉颇争列。”《卖炭翁》：“手把文书口～敕。”7<动>呼；呼唤。《冯谖客孟尝君》：“以责赐诸民，因烧其券，民～万岁。”8<动>扬名。《马说》：“故虽有名马，只辱于奴隶人之手，骈死于槽枥之间，不以千里～也。”
称	<名>称量轻重的器具。后作“秤”。《淮南子·时则训》：“角斗～。”
称	1<形>相当；相配。《伤仲永》：“令作诗，不能～前时所闻。”2<动>适合；符合。《与妻书》：“然遍地腥云，满街狼犬，～心快意，几家能彀？”
丞	1<动>辅佐；辅助。《汉书·百官公卿表》：“金印、紫绶，掌～天子，助理万机。”2<名>秦汉以后用为官名，是各级长官的副职。《陈涉世家》：“独守～与战谯门中。”《孔雀东南飞》：“遗～为媒人，主簿通语言。”
成	1<动>完成；实现。《公输》：“公输般为楚造云梯之械，～，将以攻宋。”《论语·十则》：“譬如为山，未～一篑，止，吾止也。”2<动>形成；成为。《劝学》：“积土～山，风雨兴焉。”《与朱元思书》：“好鸟相鸣，嘤嘤～韵。”3<动>成功；成就。《史记·孙膑列传》：“遂～竖子之名！”4<动>长成；成熟。《采草药》：“用实者～实时采。”《芙蕖》：“迨至菡萏～花，娇姿欲滴。”5<名>成人；成年。李密《陈情表》：“零丁孤苦，至于～立。”6<动>讲和；和解。《国语·勾践栖会稽》：“夫差与之（越国）～而去之。”7<形>定；必定。《国语·吴语》：“胜未可～也。”8<形>已有的；现成的。《察今》：“帮释先王之～法，而法其所以为法。”
呈	1<动>呈现；显现。《芙蕖》：“有风既作飘摇之态，无风亦～袅娜之姿。”2<动>恭敬地送上；呈送。《左忠毅公逸事》：“公瞿然注视。～卷，即面署第一。”《谭嗣同》：“先生有所陈奏，则著之于所进～书之中而已。”3<名>下对上的一种公文。《葫芦僧判断葫芦案》：“合族中及地方上共递一张保～。”
承	1<动>捧着；托着。《登泰山记》：“日上正赤如丹，下有红光动摇～之。”2<动>承受；承接。《滕王阁序》：“临别赠言，幸～恩于伟饯。”《谏太宗十思疏》：“凡百元首，～天景命。”3<动>承担。《狱中杂记》：“其乡人有杀人者，因代～之。”4<动>继承；继续。《孔雀东南飞》：“说有兰家女，～籍有宦官。”5<动>连接。《涉江》：“霰雪纷其无垠兮，云菲菲而～宇。”6<名>接连的次第；位次。《左传·昭公十三年》：“及盟，子产争～。”7<动>承认。《陈州粜米》：“拿到阶庭取下招～。”
诚	1<形>真诚；诚实。《谏太宗十思疏》：“盖在殷忧必竭～以待下。”2<名>诚心。《陈情表》：“愿陛下矜悯愚～。”3<形>真实；真实的。《史记·扁鹊列传》：“子以吾言为不～，试入诊太子。”4<副>实在；确实。《邹忌讽齐王纳谏》：“臣～知不如徐公美。”5<副>果真；如果确实。《屈原列传》：“楚～能绝齐，秦愿献商、於之地六百里。”
城	1<名>城墙。《得道多助，失道寡助》：“～非不高也，池非不深也。”2<动>筑城；修筑城墙。《韩非子·说林》：“靖郭君将～薛，客多以谏者。”3<名>城市。《廉颇蔺相如列传》：“秦王以十五～请易寡人之璧，可予不？”【辨】城，郭。“城”与“郭”并称时，“城”指内城，“郭”指外城。“城”、“郭”连用时，泛指城。
